 convexhullside  parameter_lnA    parameter_n   parameter_EperR
chullside_00049     4.483039        2.955412       -2699.633    
chullside_00049     19.13127        1.027649       -1603.827    
 
chullside_00050     12.47469        1.886515       -2007.234    
chullside_00050    -1.071815        3.740000       -3021.171    
chullside_00050     4.483039        2.955412       -2699.633    
chullside_00050     12.47469        1.886515       -2007.234    
 
chullside_00051    0.6840506        3.740000       -2496.793    
chullside_00051    -1.079753        3.740000       -3025.934    
chullside_00051     4.483039        2.955412       -2699.633    
chullside_00051    0.6840506        3.740000       -2496.793    
 
chullside_00052    -1.079753        3.740000       -3025.934    
chullside_00052    -1.071815        3.740000       -3021.171    
chullside_00052     4.483039        2.955412       -2699.633    
chullside_00052    -1.079753        3.740000       -3025.934    
 
chullside_00053     8.402061        2.412391       -2453.107    
chullside_00053     9.840276        2.217511       -2355.109    
chullside_00053     7.009104        2.603913       -2543.275    
chullside_00053     8.402061        2.412391       -2453.107    
 
chullside_00054     9.840276        2.217511       -2355.109    
chullside_00054     10.74268        2.097788       -2289.251    
chullside_00054     7.009104        2.603913       -2543.275    
chullside_00054     9.840276        2.217511       -2355.109    
 
chullside_00055     10.74268        2.097788       -2289.251    
chullside_00055     11.12754        2.047708       -2259.487    
chullside_00055     7.009104        2.603913       -2543.275    
chullside_00055     10.74268        2.097788       -2289.251    
 
chullside_00056     9.271898        2.294073       -2394.614    
chullside_00056     9.840276        2.217511       -2355.109    
chullside_00056     8.402061        2.412391       -2453.107    
chullside_00056     9.271898        2.294073       -2394.614    
 
chullside_00057     12.47731        1.886157       -2007.045    
chullside_00057     12.42610        1.892536       -2014.102    
chullside_00057     9.271898        2.294073       -2394.614    
chullside_00057     12.47731        1.886157       -2007.045    
 
chullside_00058     10.24532        2.163435       -2326.127    
chullside_00058     10.74268        2.097788       -2289.251    
chullside_00058     9.840276        2.217511       -2355.109    
chullside_00058     10.24532        2.163435       -2326.127    
 
chullside_00059     10.53519        2.125053       -2304.843    
chullside_00059     12.30223        1.907776       -2032.969    
chullside_00059     10.24532        2.163435       -2326.127    
